Terms,Single-Species
hsa00010_Glycolysis_/_Gluconeogenesis,0.99990 
hsa00020_Citrate_cycle_(TCA_cycle),0.53041 
hsa00030_Pentose_phosphate_pathway,0.38771 
hsa00040_Pentose_and_glucuronate_interconversions,0.13994 
hsa00051_Fructose_and_mannose_metabolism,0.01127 
hsa00052_Galactose_metabolism,0.99937 
hsa00053_Ascorbate_and_aldarate_metabolism,0.87594 
hsa00061_Fatty_acid_biosynthesis,0.03384 
hsa00062_Fatty_acid_elongation,0.82035 
hsa00071_Fatty_acid_degradation,0.98261 
hsa00072_Synthesis_and_degradation_of_ketone_bodies,0.49644 
hsa00100_Steroid_biosynthesis,0.00001 
hsa00120_Primary_bile_acid_biosynthesis,0.92143 
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,0.99978 
hsa00140_Steroid_hormone_biosynthesis,0.99993 
hsa00190_Oxidative_phosphorylation,0.82354 
hsa00220_Arginine_biosynthesis,0.69495 
hsa00230_Purine_metabolism,1.00000 
hsa00232_Caffeine_metabolism,0.69320 
hsa00240_Pyrimidine_metabolism,0.04974 
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.00341 
"hsa00260_Glycine,_serine_and_threonine_metabolism",1.00000 
hsa00270_Cysteine_and_methionine_metabolism,1.00000 
"hsa00280_Valine,_leucine_and_isoleucine_degradation",0.53450 
hsa00310_Lysine_degradation,1.00000 
hsa00330_Arginine_and_proline_metabolism,1.00000 
hsa00340_Histidine_metabolism,0.49693 
hsa00350_Tyrosine_metabolism,0.30923 
hsa00360_Phenylalanine_metabolism,0.95519 
hsa00380_Tryptophan_metabolism,0.00042 
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.69316 
hsa00410_beta-Alanine_metabolism,0.60860 
hsa00430_Taurine_and_hypotaurine_metabolism,0.04258 
hsa00440_Phosphonate_and_phosphinate_metabolism,0.68772 
hsa00450_Selenocompound_metabolism,0.96897 
hsa00471_D-Glutamine_and_D-glutamate_metabolism,0.10408 
hsa00480_Glutathione_metabolism,0.72220 
hsa00500_Starch_and_sucrose_metabolism,0.89942 
hsa00510_N-Glycan_biosynthesis,0.99983 
hsa00511_Other_glycan_degradation,0.99973 
hsa00512_Mucin_type_O-glycan_biosynthesis,1.00000 
hsa00513_Various_types_of_N-glycan_biosynthesis,0.99998 
hsa00514_Other_types_of_O-glycan_biosynthesis,0.01046 
hsa00515_Mannose_type_O-glycan_biosynthesis,1.00000 
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,0.00012 
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.69349 
hsa00531_Glycosaminoglycan_degradation,0.69387 
hsa00532_Glycosaminoglycan_biosynthesis,0.58529 
hsa00533_Glycosaminoglycan_biosynthesis,0.99980 
hsa00534_Glycosaminoglycan_biosynthesis,0.64655 
hsa00561_Glycerolipid_metabolism,0.66291 
hsa00562_Inositol_phosphate_metabolism,0.98733 
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,1.00000 
hsa00564_Glycerophospholipid_metabolism,0.56239 
hsa00565_Ether_lipid_metabolism,0.99996 
hsa00590_Arachidonic_acid_metabolism,0.99993 
hsa00591_Linoleic_acid_metabolism,0.69358 
hsa00592_alpha-Linolenic_acid_metabolism,0.68208 
hsa00600_Sphingolipid_metabolism,0.99999 
hsa00601_Glycosphingolipid_biosynthesis,0.72852 
hsa00603_Glycosphingolipid_biosynthesis,0.70145 
hsa00604_Glycosphingolipid_biosynthesis,0.00086 
hsa00620_Pyruvate_metabolism,0.99984 
hsa00630_Glyoxylate_and_dicarboxylate_metabolism,0.41304 
hsa00640_Propanoate_metabolism,0.24538 
hsa00650_Butanoate_metabolism,0.73003 
hsa00670_One_carbon_pool_by_folate,0.00000 
hsa00730_Thiamine_metabolism,0.65679 
hsa00740_Riboflavin_metabolism,0.99946 
hsa00750_Vitamin_B6_metabolism,0.66788 
hsa00760_Nicotinate_and_nicotinamide_metabolism,1.00000 
hsa00770_Pantothenate_and_CoA_biosynthesis,0.99542 
hsa00790_Folate_biosynthesis,0.07295 
hsa00830_Retinol_metabolism,1.00000 
hsa00860_Porphyrin_and_chlorophyll_metabolism,0.00138 
hsa00900_Terpenoid_backbone_biosynthesis,0.01202 
hsa00910_Nitrogen_metabolism,1.00000 
hsa00920_Sulfur_metabolism,0.99908 
