"GSE24739_G1.GENE.SET","GSE24739_G1.MEAN.ABS.T0","GSE24739_G1.PADOG0","GSE24739_G1.P.MEAN.ABS.T","GSE24739_G1.PVAL"
"hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection",4.53,0.752,0.0101,2.02e-05
"hsa04662_B_cell_receptor_signaling_pathway",6.73,3.78,0.00405,2.02e-05
"hsa04371_Apelin_signaling_pathway",2.94,0.493,0.0283,0.00202
"hsa05340_Primary_immunodeficiency",4.61,4.36,0.0182,0.00202
"hsa04330_Notch_signaling_pathway",3.44,3.4,0.0121,0.00202
"hsa04210_Apoptosis",3.71,1.13,0.0445,0.00405
"hsa04380_Osteoclast_differentiation",5.46,2.7,0.0081,0.00405
"hsa05212_Pancreatic_cancer",2.5,-0.68,0.0769,0.00607
"hsa04068_FoxO_signaling_pathway",4.28,1.43,0.0182,0.00607
"hsa00562_Inositol_phosphate_metabolism",3.78,2.95,0.0142,0.00607
"hsa04072_Phospholipase_D_signaling_pathway",3.49,0.759,0.0425,0.0101
"hsa04611_Platelet_activation",3.72,1.01,0.0324,0.0101
"hsa05221_Acute_myeloid_leukemia",4.37,1,0.0223,0.0101
"hsa04014_Ras_signaling_pathway",2.54,0.121,0.0648,0.0121
"hsa04140_Autophagy",4.38,2.48,0.0304,0.0142
"hsa00740_Riboflavin_metabolism",2.97,3.02,0.0668,0.0162
"hsa05163_Human_cytomegalovirus_infection",2.08,-2.37,0.184,0.0182
"hsa04659_Th17_cell_differentiation",3.74,1.46,0.0668,0.0182
"hsa05220_Chronic_myeloid_leukemia",3.35,-0.0922,0.0526,0.0182
"hsa04151_PI3K-Akt_signaling_pathway",2.08,-0.288,0.0729,0.0243
"hsa05166_Human_T-cell_leukemia_virus_1_infection",3.31,0.234,0.0648,0.0243
"hsa04664_Fc_epsilon_RI_signaling_pathway",3.36,0.0252,0.0628,0.0243
"hsa04725_Cholinergic_synapse",1.55,-1.53,0.154,0.0263
"hsa04926_Relaxin_signaling_pathway",2.05,-1.71,0.115,0.0263
"hsa05230_Central_carbon_metabolism_in_cancer",2.29,0.26,0.081,0.0283
"hsa04640_Hematopoietic_cell_lineage",4.06,3.36,0.0769,0.0344
"hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer",2.56,-0.742,0.103,0.0364
"hsa04660_T_cell_receptor_signaling_pathway",2.65,-0.692,0.085,0.0364
"hsa05211_Renal_cell_carcinoma",2.67,-0.0515,0.0891,0.0385
"hsa05214_Glioma",1.74,-1.76,0.103,0.0405
"hsa04658_Th1_and_Th2_cell_differentiation",3.38,1.2,0.0951,0.0425
"hsa04152_AMPK_signaling_pathway",2.42,0.882,0.083,0.0425
"hsa04064_NF-kappa_B_signaling_pathway",3.02,1.67,0.101,0.0466
"hsa00440_Phosphonate_and_phosphinate_metabolism",1.9,1.96,0.0992,0.0506
"hsa05330_Allograft_rejection",4.2,2.93,0.0951,0.0547
"hsa04070_Phosphatidylinositol_signaling_system",2.17,0.65,0.103,0.0587
"hsa05161_Hepatitis_B",1.93,-1.85,0.176,0.0668
"hsa05131_Shigellosis",2.9,0.502,0.172,0.0668
"hsa05416_Viral_myocarditis",3.01,1.86,0.134,0.0668
"hsa04921_Oxytocin_signaling_pathway",1.15,-1.42,0.227,0.0709
"hsa05323_Rheumatoid_arthritis",2.98,1.9,0.148,0.0709
