"GSE3678.GENE.SET","GSE3678.MEAN.ABS.T0","GSE3678.PADOG0","GSE3678.P.MEAN.ABS.T","GSE3678.PVAL"
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",2.49,-1.16,0.0472,7.87e-05
"hsa05222_Small_cell_lung_cancer",3.41,1.58,0.0157,7.87e-05
"hsa00350_Tyrosine_metabolism",2.35,2.34,7.87e-05,7.87e-05
"hsa04920_Adipocytokine_signaling_pathway",2.3,1.09,7.87e-05,7.87e-05
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",3.11,0.46,7.87e-05,7.87e-05
"hsa05226_Gastric_cancer",2.02,0.0867,0.102,0.00787
"hsa05165_Human_papillomavirus_infection",2.39,0.588,0.0866,0.00787
"hsa05207_Chemical_carcinogenesis",2.02,-0.559,0.0551,0.00787
"hsa04514_Cell_adhesion_molecules",4.54,4.21,0.0394,0.00787
"hsa04713_Circadian_entrainment",1.68,-1.06,0.0394,0.00787
"hsa04512_ECM-receptor_interaction",4.34,4.14,0.0236,0.00787
"hsa04979_Cholesterol_metabolism",2.6,2.65,0.0236,0.00787
"hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications",4.23,1.53,0.00787,0.00787
"hsa04068_FoxO_signaling_pathway",2.07,0.145,0.142,0.0157
"hsa05212_Pancreatic_cancer",2.3,-0.201,0.142,0.0157
"hsa05130_Pathogenic_Escherichia_coli_infection",2.55,1.08,0.126,0.0157
"hsa04918_Thyroid_hormone_synthesis",3.52,1.42,0.0945,0.0157
"hsa05418_Fluid_shear_stress_and_atherosclerosis",2.79,0.803,0.0787,0.0157
"hsa00982_Drug_metabolism",1.82,1.68,0.063,0.0157
"hsa04923_Regulation_of_lipolysis_in_adipocytes",3.17,1.12,0.0315,0.0157
"hsa05210_Colorectal_cancer",2.75,-0.129,0.0315,0.0157
"hsa04931_Insulin_resistance",1.96,0.55,0.181,0.0236
"hsa04151_PI3K-Akt_signaling_pathway",2.32,0.665,0.134,0.0236
"hsa04380_Osteoclast_differentiation",2.55,0.418,0.134,0.0236
"hsa04530_Tight_junction",4.03,3.09,0.0551,0.0236
"hsa04610_Complement_and_coagulation_cascades",4.56,4.65,0.0394,0.0236
"hsa05223_Non-small_cell_lung_cancer",1.51,-0.57,0.236,0.0315
"hsa05215_Prostate_cancer",1.76,-0.5,0.26,0.0394
"hsa05224_Breast_cancer",1.56,-0.425,0.181,0.0394
"hsa04810_Regulation_of_actin_cytoskeleton",2,1.07,0.15,0.0394
"hsa05220_Chronic_myeloid_leukemia",1.72,-0.556,0.15,0.0394
"hsa04625_C-type_lectin_receptor_signaling_pathway",1.77,-0.888,0.118,0.0394
"hsa01523_Antifolate_resistance",2.61,2.14,0.11,0.0394
"hsa00230_Purine_metabolism",2.39,2.2,0.102,0.0394
"hsa04520_Adherens_junction",2.77,2.05,0.102,0.0394
"hsa04919_Thyroid_hormone_signaling_pathway",2.18,0.419,0.102,0.0394
"hsa04371_Apelin_signaling_pathway",1.79,-0.592,0.102,0.0394
"hsa04974_Protein_digestion_and_absorption",3.2,3.3,0.0709,0.0394
"hsa03320_PPAR_signaling_pathway",3.19,3.16,0.0551,0.0394
"hsa04659_Th17_cell_differentiation",3.11,0.938,0.0551,0.0394
"hsa04010_MAPK_signaling_pathway",2.25,0.265,0.189,0.0472
"hsa05225_Hepatocellular_carcinoma",1.86,-0.0482,0.173,0.0472
"hsa05142_Chagas_disease",2.43,-0.508,0.142,0.0472
"hsa05221_Acute_myeloid_leukemia",1.58,-0.093,0.291,0.0551
"hsa04926_Relaxin_signaling_pathway",2.47,-0.955,0.134,0.0551
"hsa05150_Staphylococcus_aureus_infection",2.53,2.13,0.118,0.0551
"hsa04210_Apoptosis",2.64,0.106,0.0945,0.0551
"hsa05416_Viral_myocarditis",4.29,3,0.0866,0.0551
"hsa04015_Rap1_signaling_pathway",1.27,-0.695,0.299,0.063
"hsa04270_Vascular_smooth_muscle_contraction",1.99,-0.00622,0.205,0.063
"hsa04930_Type_II_diabetes_mellitus",1.82,0.316,0.11,0.063
"hsa00920_Sulfur_metabolism",3.42,3.54,0.0945,0.063
"hsa04924_Renin_secretion",2.4,0.29,0.0787,0.063
"hsa05143_African_trypanosomiasis",1.18,0.244,0.307,0.0709
"hsa04115_p53_signaling_pathway",2.66,1.63,0.15,0.0709
"hsa04510_Focal_adhesion",3.13,1.34,0.0787,0.0709
