Terms,Single-Species
hsa00010_Glycolysis_/_Gluconeogenesis,0.96099 
hsa00020_Citrate_cycle_(TCA_cycle),0.92406 
hsa00030_Pentose_phosphate_pathway,0.79542 
hsa00040_Pentose_and_glucuronate_interconversions,0.99615 
hsa00051_Fructose_and_mannose_metabolism,0.68853 
hsa00052_Galactose_metabolism,0.98499 
hsa00053_Ascorbate_and_aldarate_metabolism,0.91606 
hsa00061_Fatty_acid_biosynthesis,0.90356 
hsa00062_Fatty_acid_elongation,0.94839 
hsa00071_Fatty_acid_degradation,0.89306 
hsa00072_Synthesis_and_degradation_of_ketone_bodies,0.93397 
hsa00100_Steroid_biosynthesis,0.95120 
hsa00120_Primary_bile_acid_biosynthesis,1.00000 
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,0.93227 
hsa00140_Steroid_hormone_biosynthesis,0.93400 
hsa00190_Oxidative_phosphorylation,0.94149 
hsa00220_Arginine_biosynthesis,0.93436 
hsa00230_Purine_metabolism,0.99991 
hsa00232_Caffeine_metabolism,0.92950 
hsa00240_Pyrimidine_metabolism,1.00000 
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",0.99999 
"hsa00260_Glycine,_serine_and_threonine_metabolism",0.99986 
hsa00270_Cysteine_and_methionine_metabolism,0.97357 
"hsa00280_Valine,_leucine_and_isoleucine_degradation",0.99967 
hsa00310_Lysine_degradation,1.00000 
hsa00330_Arginine_and_proline_metabolism,1.00000 
hsa00340_Histidine_metabolism,1.00000 
hsa00350_Tyrosine_metabolism,0.97730 
hsa00360_Phenylalanine_metabolism,0.99286 
hsa00380_Tryptophan_metabolism,0.97413 
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",0.93227 
hsa00410_beta-Alanine_metabolism,0.93241 
hsa00430_Taurine_and_hypotaurine_metabolism,0.71561 
hsa00440_Phosphonate_and_phosphinate_metabolism,0.93227 
hsa00450_Selenocompound_metabolism,0.74404 
hsa00471_D-Glutamine_and_D-glutamate_metabolism,0.97970 
hsa00480_Glutathione_metabolism,0.99966 
hsa00500_Starch_and_sucrose_metabolism,0.99999 
hsa00510_N-Glycan_biosynthesis,1.00000 
hsa00511_Other_glycan_degradation,0.99765 
hsa00512_Mucin_type_O-glycan_biosynthesis,1.00000 
hsa00513_Various_types_of_N-glycan_biosynthesis,1.00000 
hsa00514_Other_types_of_O-glycan_biosynthesis,0.99994 
hsa00515_Mannose_type_O-glycan_biosynthesis,1.00000 
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,1.00000 
"hsa00524_Neomycin,_kanamycin_and_gentamicin_biosynthesis",0.93227 
hsa00531_Glycosaminoglycan_degradation,0.93228 
hsa00532_Glycosaminoglycan_biosynthesis,1.00000 
hsa00533_Glycosaminoglycan_biosynthesis,0.99979 
hsa00534_Glycosaminoglycan_biosynthesis,1.00000 
hsa00561_Glycerolipid_metabolism,0.79080 
hsa00562_Inositol_phosphate_metabolism,0.21910 
hsa00563_Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis,1.00000 
hsa00564_Glycerophospholipid_metabolism,1.00000 
hsa00565_Ether_lipid_metabolism,0.94306 
hsa00590_Arachidonic_acid_metabolism,0.99958 
hsa00591_Linoleic_acid_metabolism,0.93227 
hsa00592_alpha-Linolenic_acid_metabolism,0.93227 
hsa00600_Sphingolipid_metabolism,1.00000 
hsa00601_Glycosphingolipid_biosynthesis,1.00000 
hsa00603_Glycosphingolipid_biosynthesis,0.91441 
hsa00604_Glycosphingolipid_biosynthesis,0.15295 
hsa00620_Pyruvate_metabolism,0.96123 
hsa00630_Glyoxylate_and_dicarboxylate_metabolism,0.88796 
hsa00640_Propanoate_metabolism,0.99997 
hsa00650_Butanoate_metabolism,0.98724 
hsa00670_One_carbon_pool_by_folate,0.99969 
hsa00730_Thiamine_metabolism,0.82094 
hsa00740_Riboflavin_metabolism,0.91526 
hsa00750_Vitamin_B6_metabolism,0.93226 
hsa00760_Nicotinate_and_nicotinamide_metabolism,0.99970 
hsa00770_Pantothenate_and_CoA_biosynthesis,0.99232 
hsa00790_Folate_biosynthesis,0.90265 
hsa00830_Retinol_metabolism,1.00000 
hsa00860_Porphyrin_and_chlorophyll_metabolism,0.82896 
hsa00900_Terpenoid_backbone_biosynthesis,0.99999 
hsa00910_Nitrogen_metabolism,0.73420 
hsa00920_Sulfur_metabolism,0.99992 
hsa00970_Aminoacyl-tRNA_biosynthesis,1.00000 
hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450,0.95213 
hsa00982_Drug_metabolism,0.99584 
hsa00983_Drug_metabolism,0.84520 
hsa01040_Biosynthesis_of_unsaturated_fatty_acids,0.92560 
hsa01200_Carbon_metabolism,0.99995 
hsa01210_2-Oxocarboxylic_acid_metabolism,0.93153 
hsa01212_Fatty_acid_metabolism,0.93548 
hsa01230_Biosynthesis_of_amino_acids,0.93436 
hsa01240_Biosynthesis_of_cofactors,0.99998 
hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance,0.89106 
hsa01522_Endocrine_resistance,0.99981 
hsa01523_Antifolate_resistance,0.93225 
hsa01524_Platinum_drug_resistance,0.99984 
hsa02010_ABC_transporters,1.00000 
hsa03008_Ribosome_biogenesis_in_eukaryotes,1.00000 
hsa03010_Ribosome,1.00000 
hsa03013_RNA_transport,1.00000 
hsa03015_mRNA_surveillance_pathway,1.00000 
hsa03018_RNA_degradation,1.00000 
hsa03020_RNA_polymerase,0.23598 
hsa03022_Basal_transcription_factors,1.00000 
hsa03030_DNA_replication,0.99978 
hsa03040_Spliceosome,1.00000 
hsa03050_Proteasome,0.93736 
hsa03060_Protein_export,1.00000 
hsa03320_PPAR_signaling_pathway,0.99960 
hsa03410_Base_excision_repair,0.99917 
hsa03420_Nucleotide_excision_repair,1.00000 
hsa03430_Mismatch_repair,0.99970 
hsa03440_Homologous_recombination,1.00000 
hsa03450_Non-homologous_end-joining,0.99078 
hsa03460_Fanconi_anemia_pathway,1.00000 
hsa04010_MAPK_signaling_pathway,1.00000 
hsa04012_ErbB_signaling_pathway,0.93132 
hsa04014_Ras_signaling_pathway,1.00000 
hsa04015_Rap1_signaling_pathway,1.00000 
hsa04020_Calcium_signaling_pathway,1.00000 
hsa04022_cGMP-PKG_signaling_pathway,0.99999 
hsa04024_cAMP_signaling_pathway,1.00000 
hsa04060_Cytokine-cytokine_receptor_interaction,1.00000 
hsa04061_Viral_protein_interaction_with_cytokine_and_cytokine_receptor,0.93227 
hsa04062_Chemokine_signaling_pathway,0.92281 
hsa04064_NF-kappa_B_signaling_pathway,0.92910 
hsa04066_HIF-1_signaling_pathway,0.99974 
hsa04068_FoxO_signaling_pathway,0.99966 
hsa04070_Phosphatidylinositol_signaling_system,0.99998 
hsa04071_Sphingolipid_signaling_pathway,0.82028 
hsa04072_Phospholipase_D_signaling_pathway,0.93134 
hsa04080_Neuroactive_ligand-receptor_interaction,1.00000 
hsa04110_Cell_cycle,1.00000 
hsa04114_Oocyte_meiosis,0.99996 
hsa04115_p53_signaling_pathway,1.00000 
hsa04120_Ubiquitin_mediated_proteolysis,1.00000 
hsa04122_Sulfur_relay_system,0.90670 
hsa04130_SNARE_interactions_in_vesicular_transport,1.00000 
hsa04136_Autophagy,0.93229 
hsa04137_Mitophagy,1.00000 
hsa04140_Autophagy,0.99983 
hsa04141_Protein_processing_in_endoplasmic_reticulum,1.00000 
hsa04142_Lysosome,1.00000 
hsa04144_Endocytosis,1.00000 
hsa04145_Phagosome,1.00000 
hsa04146_Peroxisome,1.00000 
hsa04150_mTOR_signaling_pathway,1.00000 
hsa04151_PI3K-Akt_signaling_pathway,0.99995 
hsa04152_AMPK_signaling_pathway,0.99997 
hsa04210_Apoptosis,1.00000 
hsa04211_Longevity_regulating_pathway,0.93653 
hsa04213_Longevity_regulating_pathway,0.99567 
hsa04215_Apoptosis,0.90269 
hsa04216_Ferroptosis,1.00000 
hsa04217_Necroptosis,0.95269 
hsa04218_Cellular_senescence,0.94900 
hsa04260_Cardiac_muscle_contraction,0.90544 
hsa04261_Adrenergic_signaling_in_cardiomyocytes,1.00000 
hsa04270_Vascular_smooth_muscle_contraction,0.99997 
hsa04310_Wnt_signaling_pathway,1.00000 
hsa04330_Notch_signaling_pathway,0.99999 
hsa04340_Hedgehog_signaling_pathway,1.00000 
hsa04350_TGF-beta_signaling_pathway,1.00000 
hsa04360_Axon_guidance,1.00000 
hsa04370_VEGF_signaling_pathway,0.97594 
hsa04371_Apelin_signaling_pathway,0.91134 
hsa04380_Osteoclast_differentiation,0.99928 
hsa04390_Hippo_signaling_pathway,0.99755 
hsa04392_Hippo_signaling_pathway,0.99986 
hsa04510_Focal_adhesion,0.99908 
hsa04512_ECM-receptor_interaction,1.00000 
hsa04514_Cell_adhesion_molecules,1.00000 
hsa04520_Adherens_junction,1.00000 
hsa04530_Tight_junction,1.00000 
hsa04540_Gap_junction,0.91155 
hsa04550_Signaling_pathways_regulating_pluripotency_of_stem_cells,1.00000 
hsa04610_Complement_and_coagulation_cascades,1.00000 
hsa04611_Platelet_activation,0.91842 
hsa04612_Antigen_processing_and_presentation,0.77041 
hsa04613_Neutrophil_extracellular_trap_formation,0.91009 
hsa04614_Renin-angiotensin_system,0.37826 
hsa04620_Toll-like_receptor_signaling_pathway,0.78691 
hsa04621_NOD-like_receptor_signaling_pathway,1.00000 
hsa04622_RIG-I-like_receptor_signaling_pathway,1.00000 
hsa04623_Cytosolic_DNA-sensing_pathway,0.99921 
hsa04625_C-type_lectin_receptor_signaling_pathway,0.97322 
hsa04630_JAK-STAT_signaling_pathway,0.99996 
hsa04640_Hematopoietic_cell_lineage,0.99999 
hsa04650_Natural_killer_cell_mediated_cytotoxicity,0.99999 
hsa04657_IL-17_signaling_pathway,1.00000 
hsa04658_Th1_and_Th2_cell_differentiation,0.93450 
hsa04659_Th17_cell_differentiation,0.93129 
hsa04660_T_cell_receptor_signaling_pathway,0.91590 
hsa04662_B_cell_receptor_signaling_pathway,0.92359 
hsa04664_Fc_epsilon_RI_signaling_pathway,0.93060 
hsa04666_Fc_gamma_R-mediated_phagocytosis,0.93891 
hsa04668_TNF_signaling_pathway,0.97689 
hsa04670_Leukocyte_transendothelial_migration,0.98835 
hsa04672_Intestinal_immune_network_for_IgA_production,0.99026 
hsa04710_Circadian_rhythm,0.99987 
hsa04713_Circadian_entrainment,0.88221 
hsa04714_Thermogenesis,0.99987 
hsa04720_Long-term_potentiation,0.93227 
hsa04721_Synaptic_vesicle_cycle,1.00000 
hsa04722_Neurotrophin_signaling_pathway,1.00000 
hsa04723_Retrograde_endocannabinoid_signaling,0.99960 
hsa04724_Glutamatergic_synapse,0.99996 
hsa04725_Cholinergic_synapse,0.99772 
hsa04726_Serotonergic_synapse,0.99789 
hsa04727_GABAergic_synapse,0.99998 
hsa04728_Dopaminergic_synapse,0.70853 
hsa04730_Long-term_depression,0.99666 
hsa04740_Olfactory_transduction,0.00000 
hsa04742_Taste_transduction,0.02525 
hsa04744_Phototransduction,0.45575 
hsa04750_Inflammatory_mediator_regulation_of_TRP_channels,1.00000 
hsa04810_Regulation_of_actin_cytoskeleton,0.99869 
hsa04910_Insulin_signaling_pathway,1.00000 
hsa04911_Insulin_secretion,0.97749 
hsa04912_GnRH_signaling_pathway,0.93227 
hsa04913_Ovarian_steroidogenesis,0.93411 
hsa04914_Progesterone-mediated_oocyte_maturation,0.84728 
hsa04915_Estrogen_signaling_pathway,0.99920 
hsa04916_Melanogenesis,0.81619 
hsa04917_Prolactin_signaling_pathway,0.91728 
hsa04918_Thyroid_hormone_synthesis,0.97900 
hsa04919_Thyroid_hormone_signaling_pathway,1.00000 
hsa04920_Adipocytokine_signaling_pathway,0.84949 
hsa04921_Oxytocin_signaling_pathway,0.93242 
hsa04922_Glucagon_signaling_pathway,0.66153 
hsa04923_Regulation_of_lipolysis_in_adipocytes,0.98505 
hsa04924_Renin_secretion,0.92790 
hsa04925_Aldosterone_synthesis_and_secretion,0.96169 
hsa04926_Relaxin_signaling_pathway,0.93227 
hsa04927_Cortisol_synthesis_and_secretion,0.98990 
"hsa04928_Parathyroid_hormone_synthesis,_secretion_and_action",0.99997 
hsa04929_GnRH_secretion,0.99868 
hsa04930_Type_II_diabetes_mellitus,0.93226 
hsa04931_Insulin_resistance,0.99927 
hsa04932_Non-alcoholic_fatty_liver_disease,0.93211 
hsa04933_AGE-RAGE_signaling_pathway_in_diabetic_complications,0.93227 
hsa04934_Cushing_syndrome,0.99997 
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",0.75777 
hsa04940_Type_I_diabetes_mellitus,1.00000 
hsa04950_Maturity_onset_diabetes_of_the_young,0.98668 
hsa04960_Aldosterone-regulated_sodium_reabsorption,1.00000 
hsa04961_Endocrine_and_other_factor-regulated_calcium_reabsorption,0.90868 
hsa04962_Vasopressin-regulated_water_reabsorption,0.60584 
hsa04964_Proximal_tubule_bicarbonate_reclamation,0.88032 
hsa04966_Collecting_duct_acid_secretion,0.99991 
hsa04970_Salivary_secretion,0.99770 
hsa04971_Gastric_acid_secretion,0.99766 
hsa04972_Pancreatic_secretion,0.99997 
hsa04973_Carbohydrate_digestion_and_absorption,0.64771 
hsa04974_Protein_digestion_and_absorption,1.00000 
hsa04975_Fat_digestion_and_absorption,0.98670 
hsa04976_Bile_secretion,1.00000 
hsa04977_Vitamin_digestion_and_absorption,0.99999 
hsa04978_Mineral_absorption,1.00000 
hsa04979_Cholesterol_metabolism,1.00000 
hsa05010_Alzheimer_disease,1.00000 
hsa05012_Parkinson_disease,0.93984 
hsa05014_Amyotrophic_lateral_sclerosis,1.00000 
hsa05016_Huntington_disease,0.87101 
hsa05017_Spinocerebellar_ataxia,0.99998 
hsa05020_Prion_disease,0.95862 
hsa05022_Pathways_of_neurodegeneration,0.94720 
hsa05030_Cocaine_addiction,0.99320 
hsa05031_Amphetamine_addiction,0.90667 
hsa05032_Morphine_addiction,0.93228 
hsa05033_Nicotine_addiction,0.93227 
hsa05034_Alcoholism,0.99884 
hsa05100_Bacterial_invasion_of_epithelial_cells,0.97500 
hsa05110_Vibrio_cholerae_infection,0.79434 
hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection,1.00000 
hsa05130_Pathogenic_Escherichia_coli_infection,0.96203 
hsa05131_Shigellosis,1.00000 
hsa05132_Salmonella_infection,1.00000 
hsa05133_Pertussis,0.90716 
hsa05134_Legionellosis,0.99999 
hsa05135_Yersinia_infection,0.99363 
hsa05140_Leishmaniasis,0.93635 
hsa05142_Chagas_disease,0.93227 
hsa05143_African_trypanosomiasis,0.92045 
hsa05144_Malaria,0.97200 
hsa05145_Toxoplasmosis,0.82480 
hsa05146_Amoebiasis,0.99901 
hsa05150_Staphylococcus_aureus_infection,0.89028 
hsa05152_Tuberculosis,0.87178 
hsa05160_Hepatitis_C,0.98315 
hsa05161_Hepatitis_B,0.93227 
hsa05162_Measles,0.99317 
hsa05163_Human_cytomegalovirus_infection,0.93227 
hsa05164_Influenza_A,0.99997 
