,padog,JOANA10
GSE781,55.86099598,40.13699438
GSE9476,64.05524489,59.68840399
GSE11906,53.27770901,0
GSE5281_HIP,63.31340871,48.2667312
GSE32676,72.82028901,0
GSE16515,60.67763095,57.80254765
GSE4183,62.57264103,53.47382208
GSE19420,61.79148232,16.84827716
GSE14924_CD8,67.13916054,9.563275203
GSE6956C,65.41029923,40.68263965
GSE20164,74.17762209,53.04918623
GSE42057,56.31715332,48.01655149
GSE16759,52.83749954,47.43912015
GSE3467,61.46744481,40.70687628
GSE6956AA,60.23009181,37.44640511
GSE20153,47.33946766,49.34453303
GSE4107,58.64258023,49.19835972
GSE1297,67.37312562,47.09908175
GSE30153,42.71669711,44.99558714
GSE19728,55.33665895,46.08745131
GSE24739_G0,63.25951047,43.1215472
GSE3678,74.08224349,55.15934836
GSE24739_G1,80.58219139,39.76319124
GSE5281_EC,68.40230132,7.011201257
GSE22780,60.14389306,50.80671197
GSE20291,68.81920942,36.90629977
GSE8762,53.97515319,37.60155907
GSE38666_epithelia,51.49345219,42.1483847
GSE14924_CD4,72.14582473,14.00332109
GSE38666_stroma,57.62714678,9.006126981
GSE1145,36.00989257,9.301906593
GSE5281_VCX,58.07746294,0
GSE3585,41.46871578,22.32027145
Mean,60.28618788,35.06047616
Median,60.67763095,40.70687628
