,padog,JOANA10
GSE781,0,62.13017751
GSE9476,0,23.07692308
GSE11906,0,0
GSE5281_HIP,0,41.12426036
GSE32676,0.295857988,2.366863905
GSE16515,0.887573964,31.95266272
GSE4183,0,41.42011834
GSE19420,0.295857988,1.775147929
GSE14924_CD8,0.295857988,0.295857988
GSE6956C,0.890207715,47.63313609
GSE20164,0.890207715,26.92307692
GSE42057,0,43.78698225
GSE16759,1.183431953,28.99408284
GSE3467,0.295857988,100
GSE6956AA,3.857566766,47.33727811
GSE20153,0.295857988,7.98816568
GSE4107,0.887573964,57.3964497
GSE1297,0,61.53846154
GSE30153,0,30.76923077
GSE19728,0,49.40828402
GSE24739_G0,0,58.28402367
GSE3678,1.479289941,35.79881657
GSE24739_G1,0.591715976,7.98816568
GSE5281_EC,0,0
GSE22780,0.295857988,39.64497041
GSE20291,0.296735905,2.071005917
GSE8762,0,100
GSE38666_epithelia,0.591715976,56.50887574
GSE14924_CD4,1.183431953,2.958579882
GSE38666_stroma,0.295857988,3.25443787
GSE1145,0.295857988,0
GSE5281_VCX,0,0
GSE3585,0.890207715,23.96449704
